2024/11/09 21:35:43.851557 GET took 13.071µs, cache status true 
2024/11/09 21:35:44.359546 GET took 12.265µs, cache status true 
2024/11/09 21:35:44.869147 GET took 15.095µs, cache status true 
2024/11/09 21:35:45.397945 GET took 14.872µs, cache status true 
2024/11/09 21:35:45.922624 GET took 1.445162ms, cache status false 
2024/11/09 21:35:46.439521 GET took 1.605311ms, cache status false 
2024/11/09 21:35:46.969167 GET took 27.608µs, cache status true 
2024/11/09 21:35:47.481307 GET took 2.0053ms, cache status false 
2024/11/09 21:35:47.996490 GET took 13.239µs, cache status true 
2024/11/09 21:35:48.514872 GET took 12.472µs, cache status true 
2024/11/09 21:35:49.032639 GET took 15.84µs, cache status true 
2024/11/09 21:35:49.574885 GET took 16.324µs, cache status true 
2024/11/09 21:35:50.100412 GET took 1.346301ms, cache status false 
2024/11/09 21:35:50.596398 GET took 11.983µs, cache status true 
2024/11/09 21:35:51.121956 GET took 32.973µs, cache status true 
2024/11/09 21:35:51.653365 GET took 45.312µs, cache status true 
2024/11/09 21:35:52.159652 GET took 13.328µs, cache status true 
2024/11/09 21:35:52.683746 GET took 12.598µs, cache status true 
2024/11/09 21:35:53.198469 GET took 13.913µs, cache status true 
2024/11/09 21:35:53.718672 GET took 11.245µs, cache status true 
2024/11/09 21:35:54.245307 GET took 12.995µs, cache status true 
2024/11/09 21:35:54.767338 GET took 41.778µs, cache status true 
2024/11/09 21:35:55.304657 GET took 2.328952ms, cache status false 
2024/11/09 21:35:55.803579 GET took 1.477896ms, cache status false 
2024/11/09 21:35:56.347639 GET took 1.59221ms, cache status false 
2024/11/09 21:35:56.866378 GET took 14.273µs, cache status true 
2024/11/09 21:35:57.377910 GET took 14.694µs, cache status true 
2024/11/09 21:35:57.910690 GET took 11.859µs, cache status true 
2024/11/09 21:35:58.411932 GET took 13.74µs, cache status true 
2024/11/09 21:35:58.938935 GET took 15.423µs, cache status true 
2024/11/09 21:35:59.483437 GET took 12.86µs, cache status true 
2024/11/09 21:35:59.995568 GET took 12.245µs, cache status true 
2024/11/09 21:36:00.531610 GET took 1.560675ms, cache status false 
2024/11/09 21:36:01.060729 GET took 1.438345ms, cache status false 
2024/11/09 21:36:01.574974 GET took 15.253µs, cache status true 
2024/11/09 21:36:02.098783 GET took 23.981µs, cache status true 
2024/11/09 21:36:02.604745 GET took 728.518µs, cache status false 
2024/11/09 21:36:03.121619 GET took 14.885µs, cache status true 
2024/11/09 21:36:03.640156 GET took 14.149µs, cache status true 
2024/11/09 21:36:04.172462 GET took 12.392µs, cache status true 
2024/11/09 21:36:04.699205 GET took 31.953µs, cache status true 
2024/11/09 21:36:05.232496 GET took 1.642326ms, cache status false 
2024/11/09 21:36:05.749620 GET took 13.72µs, cache status true 
2024/11/09 21:36:06.264357 GET took 1.449048ms, cache status false 
2024/11/09 21:36:06.783577 GET took 12.803µs, cache status true 
2024/11/09 21:36:07.304598 GET took 11.752µs, cache status true 
2024/11/09 21:36:07.814589 GET took 13.077µs, cache status true 
2024/11/09 21:36:08.349860 GET took 12.283µs, cache status true 
2024/11/09 21:36:08.871025 GET took 1.442567ms, cache status false 
2024/11/09 21:36:09.407357 GET took 15.213µs, cache status true 
2024/11/09 21:36:09.903542 GET took 1.459832ms, cache status false 
2024/11/09 21:36:10.428737 GET took 13.5µs, cache status true 
2024/11/09 21:36:10.953255 GET took 12.582µs, cache status true 
2024/11/09 21:36:11.468697 GET took 12.734µs, cache status true 
2024/11/09 21:36:11.990648 GET took 14.033µs, cache status true 
2024/11/09 21:36:12.500671 GET took 14.195µs, cache status true 
2024/11/09 21:36:13.029429 GET took 13.813µs, cache status true 
2024/11/09 21:36:13.548229 GET took 14.652µs, cache status true 
2024/11/09 21:36:14.063948 GET took 19.504µs, cache status true 
2024/11/09 21:36:14.578408 GET took 12.556µs, cache status true 
2024/11/09 21:36:15.106646 GET took 909.888µs, cache status false 
2024/11/09 21:36:15.631280 GET took 1.608929ms, cache status false 
2024/11/09 21:36:16.153836 GET took 1.586419ms, cache status false 
2024/11/09 21:36:16.657204 GET took 27.89µs, cache status true 
2024/11/09 21:36:17.193167 GET took 1.339049ms, cache status false 
2024/11/09 21:36:17.698099 GET took 16.451µs, cache status true 
2024/11/09 21:36:18.248804 GET took 19.136µs, cache status true 
2024/11/09 21:36:18.738491 GET took 14.48µs, cache status true 
2024/11/09 21:36:19.259324 GET took 1.199527ms, cache status false 
2024/11/09 21:36:19.789102 GET took 13.543µs, cache status true 
2024/11/09 21:36:20.322758 GET took 1.632603ms, cache status false 
2024/11/09 21:36:20.830725 GET took 2.318432ms, cache status false 
2024/11/09 21:36:21.348728 GET took 13.742µs, cache status true 
2024/11/09 21:36:21.873887 GET took 1.484066ms, cache status false 
2024/11/09 21:36:22.414204 GET took 1.359217ms, cache status false 
2024/11/09 21:36:22.928867 GET took 1.545314ms, cache status false 
2024/11/09 21:36:23.444246 GET took 16.481µs, cache status true 
2024/11/09 21:36:23.968268 GET took 12.134µs, cache status true 
2024/11/09 21:36:24.476981 GET took 12.465µs, cache status true 
2024/11/09 21:36:25.003386 GET took 11.922µs, cache status true 
2024/11/09 21:36:25.517007 GET took 14.123µs, cache status true 
2024/11/09 21:36:26.042528 GET took 11.973µs, cache status true 
2024/11/09 21:36:26.561546 GET took 14.877µs, cache status true 
2024/11/09 21:36:27.085479 GET took 9.055µs, cache status true 
2024/11/09 21:36:27.618419 GET took 14.688µs, cache status true 
2024/11/09 21:36:28.137532 GET took 11.295µs, cache status true 
