2024/11/09 21:39:31.171564 GET took 1.423229ms, cache status false 
2024/11/09 21:39:31.701117 GET took 1.316012ms, cache status false 
2024/11/09 21:39:32.229751 GET took 1.629606ms, cache status false 
2024/11/09 21:39:32.748719 GET took 1.206027ms, cache status false 
2024/11/09 21:39:33.252952 GET took 1.824703ms, cache status false 
2024/11/09 21:39:33.786571 GET took 12.515µs, cache status true 
2024/11/09 21:39:34.296348 GET took 13.755µs, cache status true 
2024/11/09 21:39:34.820099 GET took 11.661µs, cache status true 
2024/11/09 21:39:35.344402 GET took 12.891µs, cache status true 
2024/11/09 21:39:35.880454 GET took 40.067µs, cache status true 
2024/11/09 21:39:36.402952 GET took 12.211µs, cache status true 
2024/11/09 21:39:36.905262 GET took 770.627µs, cache status false 
2024/11/09 21:39:37.442403 GET took 14.719µs, cache status true 
2024/11/09 21:39:37.938698 GET took 14.984µs, cache status true 
2024/11/09 21:39:38.461818 GET took 1.500562ms, cache status false 
2024/11/09 21:39:38.987376 GET took 13.032µs, cache status true 
2024/11/09 21:39:39.499465 GET took 1.69037ms, cache status false 
2024/11/09 21:39:40.020939 GET took 12.512µs, cache status true 
2024/11/09 21:39:40.559160 GET took 1.991015ms, cache status false 
2024/11/09 21:39:41.090868 GET took 14.019µs, cache status true 
2024/11/09 21:39:41.606688 GET took 14.909µs, cache status true 
2024/11/09 21:39:42.129834 GET took 13.241µs, cache status true 
2024/11/09 21:39:42.650722 GET took 12.676µs, cache status true 
2024/11/09 21:39:43.158614 GET took 2.034519ms, cache status false 
2024/11/09 21:39:43.688308 GET took 12.939µs, cache status true 
2024/11/09 21:39:44.207633 GET took 13.577µs, cache status true 
2024/11/09 21:39:44.731729 GET took 14.148µs, cache status true 
2024/11/09 21:39:45.232479 GET took 12.588µs, cache status true 
2024/11/09 21:39:45.753330 GET took 11.613µs, cache status true 
2024/11/09 21:39:46.283434 GET took 12.334µs, cache status true 
2024/11/09 21:39:46.796324 GET took 11.314µs, cache status true 
2024/11/09 21:39:47.328244 GET took 13.621µs, cache status true 
2024/11/09 21:39:47.829510 GET took 13.307µs, cache status true 
2024/11/09 21:39:48.367533 GET took 14.03µs, cache status true 
2024/11/09 21:39:48.892854 GET took 12.666µs, cache status true 
2024/11/09 21:39:49.399955 GET took 11.323µs, cache status true 
2024/11/09 21:39:49.936884 GET took 15.099µs, cache status true 
2024/11/09 21:39:50.447409 GET took 12.13µs, cache status true 
2024/11/09 21:39:50.958762 GET took 14.258µs, cache status true 
2024/11/09 21:39:51.492211 GET took 1.711868ms, cache status false 
2024/11/09 21:39:52.010698 GET took 183.746µs, cache status true 
2024/11/09 21:39:52.532935 GET took 13.763µs, cache status true 
2024/11/09 21:39:53.063778 GET took 12.948µs, cache status true 
2024/11/09 21:39:53.576498 GET took 14.712µs, cache status true 
2024/11/09 21:39:54.090564 GET took 13.298µs, cache status true 
2024/11/09 21:39:54.632456 GET took 15.323µs, cache status true 
2024/11/09 21:39:55.132670 GET took 14.914µs, cache status true 
2024/11/09 21:39:55.653443 GET took 13.5µs, cache status true 
2024/11/09 21:39:56.185654 GET took 1.397595ms, cache status false 
2024/11/09 21:39:56.700988 GET took 11.315µs, cache status true 
2024/11/09 21:39:57.214978 GET took 1.389544ms, cache status false 
2024/11/09 21:39:57.755701 GET took 12.297µs, cache status true 
2024/11/09 21:39:58.276692 GET took 1.448686ms, cache status false 
2024/11/09 21:39:58.799496 GET took 921.161µs, cache status false 
2024/11/09 21:39:59.321414 GET took 12.962µs, cache status true 
2024/11/09 21:39:59.833437 GET took 1.602989ms, cache status false 
2024/11/09 21:40:00.357226 GET took 12.333µs, cache status true 
2024/11/09 21:40:00.866149 GET took 16.244µs, cache status true 
2024/11/09 21:40:01.391924 GET took 1.854394ms, cache status false 
2024/11/09 21:40:01.917477 GET took 15.321µs, cache status true 
2024/11/09 21:40:02.432120 GET took 1.631503ms, cache status false 
2024/11/09 21:40:02.970526 GET took 1.41964ms, cache status false 
2024/11/09 21:40:03.473891 GET took 15.608µs, cache status true 
2024/11/09 21:40:03.996984 GET took 1.464461ms, cache status false 
2024/11/09 21:40:04.522016 GET took 1.574101ms, cache status false 
2024/11/09 21:40:05.062430 GET took 15.029µs, cache status true 
2024/11/09 21:40:05.559217 GET took 13.799µs, cache status true 
2024/11/09 21:40:06.088248 GET took 12.351µs, cache status true 
2024/11/09 21:40:06.604221 GET took 14.066µs, cache status true 
2024/11/09 21:40:07.127092 GET took 1.344472ms, cache status false 
2024/11/09 21:40:07.634829 GET took 12.739µs, cache status true 
2024/11/09 21:40:08.164811 GET took 1.491746ms, cache status false 
2024/11/09 21:40:08.679722 GET took 2.007696ms, cache status false 
2024/11/09 21:40:09.181090 GET took 1.438292ms, cache status false 
2024/11/09 21:40:09.708327 GET took 1.617027ms, cache status false 
