2024/11/09 21:25:05.554719 GET took 13.584µs, cache status true 
2024/11/09 21:25:06.077019 GET took 14.592µs, cache status true 
2024/11/09 21:25:06.593169 GET took 12.547µs, cache status true 
2024/11/09 21:25:07.119240 GET took 15.787µs, cache status true 
2024/11/09 21:25:07.632445 GET took 14.745µs, cache status true 
2024/11/09 21:25:08.162245 GET took 1.752994ms, cache status false 
2024/11/09 21:25:08.692486 GET took 1.612643ms, cache status false 
2024/11/09 21:25:09.191129 GET took 1.560165ms, cache status false 
2024/11/09 21:25:09.709581 GET took 14.146µs, cache status true 
2024/11/09 21:25:10.240085 GET took 13.592µs, cache status true 
2024/11/09 21:25:10.764330 GET took 14.664µs, cache status true 
2024/11/09 21:25:11.286569 GET took 1.588354ms, cache status false 
2024/11/09 21:25:11.792048 GET took 12.653µs, cache status true 
2024/11/09 21:25:12.334636 GET took 12.624µs, cache status true 
2024/11/09 21:25:12.838816 GET took 13.304µs, cache status true 
2024/11/09 21:25:13.368180 GET took 15.636µs, cache status true 
2024/11/09 21:25:13.877273 GET took 1.419148ms, cache status false 
2024/11/09 21:25:14.389815 GET took 14.156µs, cache status true 
2024/11/09 21:25:14.929394 GET took 13.953µs, cache status true 
2024/11/09 21:25:15.453622 GET took 13.469µs, cache status true 
2024/11/09 21:25:15.966496 GET took 13.986µs, cache status true 
2024/11/09 21:25:16.492406 GET took 15.229µs, cache status true 
2024/11/09 21:25:17.001636 GET took 14.087µs, cache status true 
2024/11/09 21:25:17.524248 GET took 14.755µs, cache status true 
2024/11/09 21:25:18.035978 GET took 14.253µs, cache status true 
2024/11/09 21:25:18.575511 GET took 13.732µs, cache status true 
2024/11/09 21:25:19.090782 GET took 13.291µs, cache status true 
2024/11/09 21:25:19.608071 GET took 15.858µs, cache status true 
2024/11/09 21:25:20.124143 GET took 15.129µs, cache status true 
2024/11/09 21:25:20.663715 GET took 15.328µs, cache status true 
2024/11/09 21:25:21.167839 GET took 14.811µs, cache status true 
2024/11/09 21:25:21.684977 GET took 11.586µs, cache status true 
2024/11/09 21:25:22.205025 GET took 12.405µs, cache status true 
2024/11/09 21:25:22.747805 GET took 14.019µs, cache status true 
2024/11/09 21:25:23.254713 GET took 12.49µs, cache status true 
2024/11/09 21:25:23.791048 GET took 15.119µs, cache status true 
2024/11/09 21:25:24.295513 GET took 1.479248ms, cache status false 
2024/11/09 21:25:24.828486 GET took 12.632µs, cache status true 
2024/11/09 21:25:25.327743 GET took 15.7µs, cache status true 
2024/11/09 21:25:25.853814 GET took 2.393709ms, cache status false 
2024/11/09 21:25:26.398613 GET took 14.826µs, cache status true 
2024/11/09 21:25:26.954182 GET took 21.491µs, cache status true 
2024/11/09 21:25:27.482490 GET took 15.564µs, cache status true 
2024/11/09 21:25:28.015122 GET took 1.4376ms, cache status false 
2024/11/09 21:25:28.526707 GET took 15.234µs, cache status true 
2024/11/09 21:25:29.041178 GET took 12.991µs, cache status true 
2024/11/09 21:25:29.585170 GET took 17µs, cache status true 
2024/11/09 21:25:30.114850 GET took 12.65µs, cache status true 
2024/11/09 21:25:30.617848 GET took 13.419µs, cache status true 
2024/11/09 21:25:31.157587 GET took 12.868µs, cache status true 
2024/11/09 21:25:31.669564 GET took 14.421µs, cache status true 
