2024/11/09 21:29:36.082519 GET took 1.969006ms, cache status false 
2024/11/09 21:29:36.616717 GET took 12.16µs, cache status true 
2024/11/09 21:29:37.134284 GET took 1.63368ms, cache status false 
2024/11/09 21:29:37.640711 GET took 1.230751ms, cache status false 
2024/11/09 21:29:38.177430 GET took 15.771µs, cache status true 
2024/11/09 21:29:38.692117 GET took 13.184µs, cache status true 
2024/11/09 21:29:39.203430 GET took 15.594µs, cache status true 
2024/11/09 21:29:39.726715 GET took 1.62448ms, cache status false 
2024/11/09 21:29:40.267692 GET took 1.3853ms, cache status false 
2024/11/09 21:29:40.770106 GET took 1.201781ms, cache status false 
2024/11/09 21:29:41.288800 GET took 16.111µs, cache status true 
2024/11/09 21:29:41.818062 GET took 13.073µs, cache status true 
2024/11/09 21:29:42.345531 GET took 13.57µs, cache status true 
2024/11/09 21:29:42.851853 GET took 15.284µs, cache status true 
2024/11/09 21:29:43.371172 GET took 1.371729ms, cache status false 
2024/11/09 21:29:43.910266 GET took 13.041µs, cache status true 
2024/11/09 21:29:44.417755 GET took 12.641µs, cache status true 
2024/11/09 21:29:44.950508 GET took 13.369µs, cache status true 
2024/11/09 21:29:45.457673 GET took 12.446µs, cache status true 
2024/11/09 21:29:45.979784 GET took 1.694027ms, cache status false 
2024/11/09 21:29:46.512306 GET took 14.522µs, cache status true 
2024/11/09 21:29:47.022936 GET took 13.341µs, cache status true 
2024/11/09 21:29:47.552939 GET took 13.623µs, cache status true 
2024/11/09 21:29:48.063936 GET took 14.732µs, cache status true 
2024/11/09 21:29:48.599013 GET took 1.482132ms, cache status false 
2024/11/09 21:29:49.109116 GET took 8.855µs, cache status true 
2024/11/09 21:29:49.631214 GET took 37.016µs, cache status true 
2024/11/09 21:29:50.165743 GET took 15.372µs, cache status true 
2024/11/09 21:29:50.672473 GET took 26.889µs, cache status true 
2024/11/09 21:29:51.206919 GET took 36.374µs, cache status true 
2024/11/09 21:29:51.712455 GET took 1.794264ms, cache status false 
2024/11/09 21:29:52.242807 GET took 14.158µs, cache status true 
2024/11/09 21:29:52.765472 GET took 13.782µs, cache status true 
2024/11/09 21:29:53.292901 GET took 15.371µs, cache status true 
2024/11/09 21:29:53.805910 GET took 12.547µs, cache status true 
2024/11/09 21:29:54.327784 GET took 12.737µs, cache status true 
2024/11/09 21:29:54.853761 GET took 16.287µs, cache status true 
2024/11/09 21:29:55.388044 GET took 13.217µs, cache status true 
2024/11/09 21:29:55.895275 GET took 35.116µs, cache status true 
2024/11/09 21:29:56.429860 GET took 14.509µs, cache status true 
2024/11/09 21:29:56.945981 GET took 1.42284ms, cache status false 
2024/11/09 21:29:57.460286 GET took 18.864µs, cache status true 
2024/11/09 21:29:57.967378 GET took 14.007µs, cache status true 
2024/11/09 21:29:58.507450 GET took 15.903µs, cache status true 
2024/11/09 21:29:59.012390 GET took 1.935479ms, cache status false 
2024/11/09 21:29:59.552597 GET took 176.358µs, cache status true 
2024/11/09 21:30:00.075961 GET took 13.546µs, cache status true 
2024/11/09 21:30:00.639481 GET took 15.324µs, cache status true 
2024/11/09 21:30:01.108952 GET took 26.098µs, cache status true 
2024/11/09 21:30:01.640401 GET took 12.377µs, cache status true 
2024/11/09 21:30:02.149496 GET took 21.473µs, cache status true 
2024/11/09 21:30:02.682507 GET took 11.784µs, cache status true 
2024/11/09 21:30:03.208045 GET took 12.722µs, cache status true 
2024/11/09 21:30:03.713091 GET took 11.003µs, cache status true 
2024/11/09 21:30:04.232547 GET took 14.828µs, cache status true 
2024/11/09 21:30:04.753450 GET took 15.296µs, cache status true 
2024/11/09 21:30:05.291436 GET took 12.246µs, cache status true 
2024/11/09 21:30:05.785554 GET took 12.144µs, cache status true 
2024/11/09 21:30:06.319626 GET took 11.776µs, cache status true 
2024/11/09 21:30:06.916261 GET took 11.87µs, cache status true 
2024/11/09 21:30:07.369390 GET took 1.511632ms, cache status false 
2024/11/09 21:30:07.883332 GET took 13.563µs, cache status true 
2024/11/09 21:30:08.411362 GET took 95.479µs, cache status true 
2024/11/09 21:30:08.923834 GET took 14.257µs, cache status true 
2024/11/09 21:30:09.448036 GET took 15.773µs, cache status true 
2024/11/09 21:30:09.960978 GET took 13.268µs, cache status true 
2024/11/09 21:30:10.504994 GET took 12.432µs, cache status true 
2024/11/09 21:30:11.028288 GET took 13.966µs, cache status true 
2024/11/09 21:30:11.539086 GET took 13.586µs, cache status true 
2024/11/09 21:30:12.050455 GET took 13.019µs, cache status true 
2024/11/09 21:30:12.585451 GET took 14.417µs, cache status true 
2024/11/09 21:30:13.108947 GET took 1.764118ms, cache status false 
2024/11/09 21:30:13.617179 GET took 15.343µs, cache status true 
2024/11/09 21:30:14.132954 GET took 13.308µs, cache status true 
2024/11/09 21:30:14.671420 GET took 13.151µs, cache status true 
2024/11/09 21:30:15.198356 GET took 13.55µs, cache status true 
2024/11/09 21:30:15.721517 GET took 15.102µs, cache status true 
2024/11/09 21:30:16.228332 GET took 14.046µs, cache status true 
2024/11/09 21:30:16.743384 GET took 12.827µs, cache status true 
2024/11/09 21:30:17.289383 GET took 13.478µs, cache status true 
2024/11/09 21:30:17.801770 GET took 14.371µs, cache status true 
2024/11/09 21:30:18.308881 GET took 2.196705ms, cache status false 
2024/11/09 21:30:18.824394 GET took 16.327µs, cache status true 
2024/11/09 21:30:19.342858 GET took 14.556µs, cache status true 
2024/11/09 21:30:19.883791 GET took 14.136µs, cache status true 
2024/11/09 21:30:20.407072 GET took 904.077µs, cache status false 
2024/11/09 21:30:20.925300 GET took 1.431172ms, cache status false 
2024/11/09 21:30:21.433610 GET took 14.518µs, cache status true 
2024/11/09 21:30:21.954536 GET took 1.355474ms, cache status false 
2024/11/09 21:30:22.496365 GET took 12.422µs, cache status true 
2024/11/09 21:30:23.007435 GET took 14.926µs, cache status true 
2024/11/09 21:30:23.521223 GET took 12.697µs, cache status true 
2024/11/09 21:30:24.053940 GET took 13.986µs, cache status true 
2024/11/09 21:30:24.573025 GET took 13.293µs, cache status true 
2024/11/09 21:30:25.100127 GET took 13.725µs, cache status true 
2024/11/09 21:30:25.627968 GET took 12.423µs, cache status true 
2024/11/09 21:30:26.130027 GET took 12.125µs, cache status true 
2024/11/09 21:30:26.673282 GET took 12.901µs, cache status true 
2024/11/09 21:30:27.193542 GET took 130.732µs, cache status true 
2024/11/09 21:30:27.699146 GET took 13.196µs, cache status true 
2024/11/09 21:30:28.232881 GET took 1.207728ms, cache status false 
2024/11/09 21:30:28.753182 GET took 16.02µs, cache status true 
2024/11/09 21:30:29.248595 GET took 128.142µs, cache status true 
2024/11/09 21:30:29.790876 GET took 14.874µs, cache status true 
2024/11/09 21:30:30.303580 GET took 15.114µs, cache status true 
2024/11/09 21:30:30.812155 GET took 14.069µs, cache status true 
2024/11/09 21:30:31.341248 GET took 12.801µs, cache status true 
2024/11/09 21:30:31.852999 GET took 15.339µs, cache status true 
2024/11/09 21:30:32.387674 GET took 1.470378ms, cache status false 
2024/11/09 21:30:32.917077 GET took 14.504µs, cache status true 
2024/11/09 21:30:33.435148 GET took 14.497µs, cache status true 
2024/11/09 21:30:33.954102 GET took 14.091µs, cache status true 
2024/11/09 21:30:34.466275 GET took 15.75µs, cache status true 
2024/11/09 21:30:34.995389 GET took 15.392µs, cache status true 
2024/11/09 21:30:35.525759 GET took 13.16µs, cache status true 
2024/11/09 21:30:36.039012 GET took 13.516µs, cache status true 
2024/11/09 21:30:36.560255 GET took 14.532µs, cache status true 
2024/11/09 21:30:37.086122 GET took 15.379µs, cache status true 
2024/11/09 21:30:37.585585 GET took 13.95µs, cache status true 
2024/11/09 21:30:38.108311 GET took 13.713µs, cache status true 
2024/11/09 21:30:38.637263 GET took 14.714µs, cache status true 
2024/11/09 21:30:39.156964 GET took 1.608558ms, cache status false 
2024/11/09 21:30:39.673764 GET took 12.996µs, cache status true 
2024/11/09 21:30:40.187097 GET took 13.228µs, cache status true 
2024/11/09 21:30:40.718278 GET took 14.021µs, cache status true 
2024/11/09 21:30:41.268013 GET took 1.296622ms, cache status false 
2024/11/09 21:30:41.765298 GET took 13.65µs, cache status true 
2024/11/09 21:30:42.295414 GET took 14.943µs, cache status true 
2024/11/09 21:30:42.825537 GET took 14.287µs, cache status true 
2024/11/09 21:30:43.338051 GET took 15.881µs, cache status true 
